	add_date	analysis_level	brain_coverage	cognitive_contrast_cogatlas	cognitive_contrast_cogatlas_id	cognitive_paradigm_cogatlas	cognitive_paradigm_cogatlas_id	collection	collection_id	contrast_definition	contrast_definition_cogatlas	description	figure	file	file_size	image_id	image_type	is_thresholded	is_valid	map_type	modality	modify_date	name	not_mni	number_of_subjects	perc_bad_voxels	perc_voxels_outside	reduced_representation	smoothness_fwhm	statistic_parameters	thumbnail	url
12	2016-01-21T17:23:24.406786Z	group	100.0	difference from indifference	cnt_5175b81f53bf3	mixed gambles task	trm_4cacee4a1d875	http://neurovault.org/collections/3/	3	distance from indifference				http://neurovault.org/media/images/3/task001_cope04_distance%20from%20indifference.nii.gz	878581	8718	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:24.406804Z	task001_cope04_distance from indifference	False	16	74.6869422542	0.0	http://neurovault.org/media/images/3/transform_4mm_8718.npy			http://neurovault.org/media/images/3/glass_brain_8718.jpg	http://neurovault.org/images/8718/
13	2016-01-21T17:22:49.037228Z	group	99.9886205976	2-back Face	cnt_55314b0643005	working memory fMRI task paradigm	trm_550b50095d4a3	http://neurovault.org/collections/457/	457	2-back Face		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_2BK_FACE_zstat1.nii.gz	1183225	3192	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:22:49.037247Z	tfMRI WM 2BK FACE zstat1	False	486	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3192.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3192.jpg	http://neurovault.org/images/3192/
14	2016-01-21T17:22:52.250591Z	group	92.0348559849	attend negative minus attend neutral stimulus	cnt_5679bec3715cd	emotional regulation task	trm_4da890594742a	http://neurovault.org/collections/425/	425	Look Neg Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope05_Look_Neg_Stim.nii.gz	809966	8727	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:52.250610Z	task001 cope05 Look Neg Stim	False	34	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_8727.npy			http://neurovault.org/media/images/425/glass_brain_8727.jpg	http://neurovault.org/images/8727/
15	2016-01-21T17:22:28.368771Z	group	99.9886205976	Right Foot	cnt_5531528173117	motor fMRI task paradigm	trm_550b53d7dd674	http://neurovault.org/collections/457/	457	Right Toe (Foot)		FSL5.0		http://neurovault.org/media/images/457/tfMRI_MOTOR_RF_zstat1.nii.gz	1181705	3160	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:22:28.368789Z	tfMRI MOTOR RIGHT FOOT zstat1	False	486	65.7102752072	26.18728373	http://neurovault.org/media/images/457/transform_4mm_3160.npy	0.0	490.0	http://neurovault.org/media/images/457/glass_brain_3160.jpg	http://neurovault.org/images/3160/
16	2016-01-21T17:22:26.994500Z	group	95.6022986393	feedback	cnt_55399dc274d97	deterministic classification	trm_4e8dd3831f0cc	http://neurovault.org/collections/40/	40	feedback		FSL5.0		http://neurovault.org/media/images/40/task002_cope02_feedback.nii.gz	874675	138	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:26.994518Z	task002_002_feedback.nii.gz	False	17	74.7239452754	13.021924201	http://neurovault.org/media/images/40/transform_4mm_138.npy			http://neurovault.org/media/images/40/glass_brain_138.jpg	http://neurovault.org/images/138/
17	2016-01-21T17:22:49.047024Z	group	99.9820555577	Relational Processing	cnt_553149979dc2e	relational processing fMRI task paradigm	trm_550b5a47aa23e	http://neurovault.org/collections/457/	457	Relational Processing		FSL5.0		http://neurovault.org/media/images/457/tfMRI_RELATIONAL_REL_zstat1.nii.gz	1179510	3175	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:22:49.047043Z	tfMRI RELATIONAL REL zstat1	False	486	65.7151498567	26.1816360493	http://neurovault.org/media/images/457/transform_4mm_3175.npy	0.0	479.0	http://neurovault.org/media/images/457/glass_brain_3175.jpg	http://neurovault.org/images/3175/
18	2016-01-21T17:21:37.289598Z	group	99.970238486	go trial	cnt_4b44a4d544ee7	stop signal task	tsk_4a57abb949e1a	http://neurovault.org/collections/42/	42	go		FSL5.0		http://neurovault.org/media/images/42/task001_cope01_go.nii.gz	878731	143	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T20:59:44.198906Z	task001 001 go	False	15	74.6944758035	0.0	http://neurovault.org/media/images/42/transform_4mm_143.npy			http://neurovault.org/media/images/42/glass_brain_143_1.jpg	http://neurovault.org/images/143/
19	2016-01-21T17:21:35.374391Z	group	99.926909223	unsuccessful stop minus successful stop	cnt_55399a008d960	conditional stop signal task	trm_4cacf3fbc503b	http://neurovault.org/collections/42/	42	 unsucc minus succ stop		FSL5.0		http://neurovault.org/media/images/42/task002_cope08_unsucc_minus_succ_stop.nii.gz	877640	3040	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T20:59:16.651253Z	task002 008 unsucc minus succ stop	False	15	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_3040.npy			http://neurovault.org/media/images/42/glass_brain_3040_1.jpg	http://neurovault.org/images/3040/
20	2016-01-21T17:22:25.466844Z	group	99.9623604382	explode average	cnt_55399f9ac9c55	balloon analogue risk task (BART)	trm_4d559bcd67c18	http://neurovault.org/collections/39/	39	explode average		FSL5.0		http://neurovault.org/media/images/39/task001_cope07_explode_fixed.nii.gz	877656	119	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:25.466863Z	task001 explode average	False	16	74.6964699783	0.0	http://neurovault.org/media/images/39/transform_4mm_119.npy			http://neurovault.org/media/images/39/glass_brain_119.jpg	http://neurovault.org/images/119/
21	2016-01-21T17:22:27.004887Z	group	99.970238486	failed stop	cnt_55399d6bcd8dc	stop signal task	tsk_4a57abb949e1a	http://neurovault.org/collections/42/	42	failed stop		FSL5.0		http://neurovault.org/media/images/42/task001_cope03_failed%20stop.nii.gz	878293	146	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:27.004905Z	task001 003 failed stop	False	15	74.6944758035	0.0	http://neurovault.org/media/images/42/transform_4mm_146.npy			http://neurovault.org/media/images/42/glass_brain_146.jpg	http://neurovault.org/images/146/
22	2016-01-21T17:22:25.456768Z		99.9623604382	pumps parametric	cnt_55399f8675b23	balloon analogue risk task (BART)	trm_4d559bcd67c18	http://neurovault.org/collections/39/	39	pumps parametric		FSL5.0		http://neurovault.org/media/images/39/task001_cope02_pumps_demean.nii.gz	877288	122	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:44:04.226380Z	task001 pumps parametric	False	16	74.6964699783	0.0	http://neurovault.org/media/images/39/transform_4mm_122.npy			http://neurovault.org/media/images/39/glass_brain_122.jpg	http://neurovault.org/images/122/
23	2016-01-21T17:21:57.533033Z	group	99.9164051592	visual standard stimulus presentation	cnt_553a7710d845a	oddball task	tsk_4a57abb949bf6	http://neurovault.org/collections/417/	417	visual standard		FSL5.0		http://neurovault.org/media/images/417/model001_task002_cope006_tstat1.nii.gz	870735	2718	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:21:57.533052Z	model001 task002 cope006 tstat1	False	17	74.7081026645	0.0	http://neurovault.org/media/images/417/transform_4mm_2718.npy			http://neurovault.org/media/images/417/glass_brain_2718.jpg	http://neurovault.org/images/2718/
24	2016-01-21T17:21:38.067927Z	group	98.820918843	positive feedback	cnt_553a68284e225	Probabilistic classification task	trm_4cacf22a22d80	http://neurovault.org/collections/44/	44	positive feedback		FSL5.0		http://neurovault.org/media/images/44/task001_cope01_positive%20feedback.nii.gz	870898	173	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T20:59:57.497315Z	task001_001_positive feedback.nii.gz	False	14	74.9854037484	0.0	http://neurovault.org/media/images/44/transform_4mm_173.npy			http://neurovault.org/media/images/44/glass_brain_173_1.jpg	http://neurovault.org/images/173/
25	2016-01-21T17:23:16.865181Z	group	100.0	dual task classification learning trials	cnt_4ebcaa463d20e	dual-task weather prediction	trm_4ebc98cc77e7b	http://neurovault.org/collections/43/	43	dual-task classification learning trials		FSL5.0		http://neurovault.org/media/images/43/task003_cope01_dual-task%20classification.nii.gz	879840	166	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:16.865215Z	task003_001_dual-task classification	False	14	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_166.npy			http://neurovault.org/media/images/43/glass_brain_166_1.jpg	http://neurovault.org/images/166/
26	2016-01-21T17:21:39.605839Z	group	99.9886205976	0-back Body	cnt_55314b2a72bee	working memory fMRI task paradigm	trm_550b50095d4a3	http://neurovault.org/collections/457/	457	0-back Body		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_BODY_zstat1.nii.gz	1181692	3185	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-27T21:00:26.319841Z	tfMRI WM 0BK BODY zstat1	False	486	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3185.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3185_1.jpg	http://neurovault.org/images/3185/
27	2016-01-21T17:22:26.880239Z	group	92.0348559849	attend neutral stimulus	cnt_553a6e7daf8e6	emotional regulation task	trm_4da890594742a	http://neurovault.org/collections/425/	425	Look_Neutral_Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope004_tstat1.nii.gz	812900	2863	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:26.880258Z	task001 cope004 tstat1	False	34	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_2863.npy			http://neurovault.org/media/images/425/glass_brain_2863.jpg	http://neurovault.org/images/2863/
28	2016-01-21T17:22:52.343818Z	group	80.4914661423	[why face minus how nonsocial] minus [why nonsocial minus how face]	cnt_554109af50e85	why/how task	trm_53c4465b0466f	http://neurovault.org/collections/297/	297	[why face minus how face] minus [why nonsocial minus how nonsocial]		[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]		http://neurovault.org/media/images/297/Tmap_Why_FaceHow_Nonsocial_-_Why_NonsocialHow_Face.nii.gz	218721	1586	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:52.343836Z	[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]	False	19	63.9426019246	3.17973348741	http://neurovault.org/media/images/297/transform_4mm_1586.npy		18.0	http://neurovault.org/media/images/297/glass_brain_1586.jpg	http://neurovault.org/images/1586/
29	2016-01-21T17:21:38.452714Z	group	81.4101505622	video sentences	cnt_553e865074ad4	functional localizer fMRI tasks	trm_553e85265f51e	http://neurovault.org/collections/94/	94	video sentences		Sentence reading		http://neurovault.org/media/images/94/sentence_reading_1.nii.gz	214293	419	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:00:04.787818Z	Sentence reading	False	94	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_419.npy		93.0	http://neurovault.org/media/images/94/glass_brain_419_1.jpg	http://neurovault.org/images/419/
30	2016-01-21T17:22:28.078343Z		97.7201804948	reappraise negative rating	cnt_553a6e9a84bd2	emotional regulation task	trm_4da890594742a	http://neurovault.org/collections/307/	307			mediation results (Figure 4): activity during cue/anticipation that shows an amygdala-mediated relationship with reappraisal success (a*b mediation path)		http://neurovault.org/media/images/307/Denny_etal_2014_reappraisal_anticipation_2.nii.gz	1344489	1750	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:44:18.230515Z	mediation results	False	36	61.9033955257	35.0704188489	http://neurovault.org/media/images/307/transform_4mm_1750.npy		25.0	http://neurovault.org/media/images/307/glass_brain_1750.jpg	http://neurovault.org/images/1750/
31	2016-01-21T17:22:23.341535Z	group	99.9164051592	visual targets minus standards	cnt_553a7740160a3	oddball task	tsk_4a57abb949bf6	http://neurovault.org/collections/417/	417	visual targets - standards		FSL5.0		http://neurovault.org/media/images/417/model001_task002_cope005_tstat1.nii.gz	878248	2731	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:23.341554Z	model001 task002 cope005 tstat1	False	17	74.7081026645	0.0	http://neurovault.org/media/images/417/transform_4mm_2731.npy			http://neurovault.org/media/images/417/glass_brain_2731.jpg	http://neurovault.org/images/2731/
32	2016-01-21T17:22:48.056641Z	group	97.2523119882	go trial	cnt_5181f863d5591	stop signal task with pseudo word naming	trm_5181f863d24f4	http://neurovault.org/collections/423/	423	go		FSL5.0		http://neurovault.org/media/images/423/task003_cope001_tstat1.nii.gz	857169	2826	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:48.056660Z	task003 cope001 tstat1	False	20	75.3824661073	0.0	http://neurovault.org/media/images/423/transform_4mm_2826.npy			http://neurovault.org/media/images/423/glass_brain_2826.jpg	http://neurovault.org/images/2826/
33	2016-01-21T17:23:04.419489Z	group	99.926909223	successful stop minus go	cnt_4ebca1f15eb7d	conditional stop signal task	trm_4cacf3fbc503b	http://neurovault.org/collections/42/	42	succstop minus go		FSL5.0		http://neurovault.org/media/images/42/task002_cope10_succstop_minus_go.nii.gz	878039	3041	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:04.419508Z	task002 010 succstop minus go	False	15	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_3041.npy			http://neurovault.org/media/images/42/glass_brain_3041.jpg	http://neurovault.org/images/3041/
34	2016-01-21T17:21:48.877007Z	group	77.4735045167	food choice periods of high energy trials versus food choice periods of low energy trials	cnt_55ef440b3f6f2	eating/drinking	trm_4c898c0786246	http://neurovault.org/collections/723/	723	Food choice periods of HE trials versus food choice periods of LE trials. 		To determine which brain regions showed differential activation for HE and LE choice periods, the contrast images of HE minus LE choice periods (and vice versa) were entered into one-sample t-test analyses. 	Figure 3	http://neurovault.org/media/images/723/spmT_0001_HEminLE.nii.gz	87745	10924	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:21:48.877026Z	HE vs LE food choice periods	False	20	66.2745098039	1.05377906977	http://neurovault.org/media/images/723/transform_4mm_10924.npy			http://neurovault.org/media/images/723/glass_brain_10924.jpg	http://neurovault.org/images/10924/
35	2016-01-21T17:23:17.935891Z	group	99.9562330677	auditory targets minus standards	cnt_553a768dc270f	oddball task	tsk_4a57abb949bf6	http://neurovault.org/collections/417/	417	auditory targets - standards		FSL5.0		http://neurovault.org/media/images/417/model001_task001_cope008_tstat1.nii.gz	877141	2729	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:17.935910Z	model001 task001 cope008 tstat1	False	17	74.6980210031	0.0	http://neurovault.org/media/images/417/transform_4mm_2729.npy			http://neurovault.org/media/images/417/glass_brain_2729.jpg	http://neurovault.org/images/2729/
36	2016-01-21T17:22:28.089334Z	group	99.9820555577	Story minus Math	cnt_55314a1a5514c	language processing fMRI task paradigm	trm_550b54a8b30f4	http://neurovault.org/collections/457/	457	Story minus Math		FSL5.0		http://neurovault.org/media/images/457/tfMRI_LANGUAGE_STORY-MATH_zstat1.nii.gz	1177802	3142	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:22:28.089356Z	tfMRI LANGUAGE STORY minus MATH zstat1	False	486	65.7121585945	26.1880759438	http://neurovault.org/media/images/457/transform_4mm_3142.npy	0.0	481.0	http://neurovault.org/media/images/457/glass_brain_3142.jpg	http://neurovault.org/images/3142/
37	2016-01-21T17:21:35.394986Z	group	99.926909223	go-critical minus go-noncritical	cnt_553999f2c69ef	conditional stop signal task	trm_4cacf3fbc503b	http://neurovault.org/collections/42/	42	go-critical minus go-noncritical		FSL5.0		http://neurovault.org/media/images/42/task002_cope09_go_crit-go_noncrit.nii.gz	877915	3039	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T20:59:17.042624Z	task002 009 go-critical minus go-noncritical	False	15	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_3039.npy			http://neurovault.org/media/images/42/glass_brain_3039_1.jpg	http://neurovault.org/images/3039/
38	2016-01-21T17:23:16.814727Z	group	81.4101505622	right audio click	cnt_553e85d4af020	functional localizer fMRI tasks	trm_553e85265f51e	http://neurovault.org/collections/94/	94	right audio click		Right button press with an auditory cue		http://neurovault.org/media/images/94/right_button_press_auditory_cue_1.nii.gz	213697	394	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:16.814754Z	Right Button Press Auditory Cue	False	94	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_394.npy		93.0	http://neurovault.org/media/images/94/glass_brain_394_1.jpg	http://neurovault.org/images/394/
39	2016-01-21T17:21:38.192255Z	group	92.351728575	objects	cnt_55399e5388e65	word one-back task	trm_4ebd482eba5b1	http://neurovault.org/collections/46/	46	objects		FSL5.0		http://neurovault.org/media/images/46/task001_cope02_Objects.nii.gz	815718	188	statistic_map	False	True	T map	fMRI-BOLD	2016-01-27T21:00:00.784993Z	task001_002_Objects.nii.gz	False	49	76.6229536166	0.0	http://neurovault.org/media/images/46/transform_4mm_188.npy			http://neurovault.org/media/images/46/glass_brain_188_1.jpg	http://neurovault.org/images/188/
40	2016-01-21T17:22:37.719813Z	group	99.926909223	failed stop-critical 	cnt_4ebca202935c6	conditional stop signal task	trm_4cacf3fbc503b	http://neurovault.org/collections/42/	42	failed stop-critical		FSL5.0		http://neurovault.org/media/images/42/task002_cope04_failed%20stop-critical.nii.gz	877599	142	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:22:37.719831Z	task002 004 failed stop-critical	False	15	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_142.npy			http://neurovault.org/media/images/42/glass_brain_142.jpg	http://neurovault.org/images/142/
41	2016-01-21T17:23:04.376800Z	group	99.9820555577	Matching	cnt_553149868c670	relational processing fMRI task paradigm	trm_550b5a47aa23e	http://neurovault.org/collections/457/	457	Matching		FSL5.0		http://neurovault.org/media/images/457/tfMRI_RELATIONAL_MATCH_zstat1.nii.gz	1178855	3173	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:23:04.376818Z	tfMRI RELATIONAL MATCH zstat1	False	486	65.7151498567	26.1816360493	http://neurovault.org/media/images/457/transform_4mm_3173.npy	0.0	479.0	http://neurovault.org/media/images/457/glass_brain_3173.jpg	http://neurovault.org/images/3173/
42	2016-01-21T17:22:28.015737Z	group	99.9886205976	Left Hand	cnt_55315278ea6cc	motor fMRI task paradigm	trm_550b53d7dd674	http://neurovault.org/collections/457/	457	Left Finger (Hand)		FSL5.0		http://neurovault.org/media/images/457/tfMRI_MOTOR_LH_zstat1.nii.gz	1182177	3158	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-21T17:22:28.015756Z	tfMRI MOTOR LEFT HAND zstat1	False	486	65.7102752072	26.18728373	http://neurovault.org/media/images/457/transform_4mm_3158.npy	0.0	490.0	http://neurovault.org/media/images/457/glass_brain_3158.jpg	http://neurovault.org/images/3158/
43	2016-01-21T17:23:16.672331Z	group	80.4914661423	[why hand minus how nonsocial] minus [why nonsocial minus how hand]	cnt_554109c5544c8	why/how task	trm_53c4465b0466f	http://neurovault.org/collections/297/	297	[why hand minus how hand] minus [why nonsocial minus how nonsocial]		[Why_Hand > How_Hand] > [Why_Nonsocial > How_Nonsocial]		http://neurovault.org/media/images/297/Tmap_Why_HandHow_Nonsocial_-_Why_NonsocialHow_Hand.nii.gz	218625	1587	statistic_map	False	True	T map	fMRI-BOLD	2016-01-21T17:23:16.672350Z	[Why_Hand > How_Hand] > [Why_Nonsocial > How_Nonsocial]	False	19	63.9426019246	3.17973348741	http://neurovault.org/media/images/297/transform_4mm_1587.npy		18.0	http://neurovault.org/media/images/297/glass_brain_1587_1.jpg	http://neurovault.org/images/1587/
44	2016-01-21T17:21:40.526943Z	group	99.9886205976	0-back Tool	cnt_55314b5e393d2	working memory fMRI task paradigm	trm_550b50095d4a3	http://neurovault.org/collections/457/	457	0-back Tool		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_TOOL_zstat1.nii.gz	1183452	3188	statistic_map	False	True	Z map	fMRI-BOLD	2016-01-27T21:00:41.022060Z	tfMRI WM 0BK TOOL zstat1	False	486	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3188.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3188_1.jpg	http://neurovault.org/images/3188/
