	DOI	acquisition_orientation	add_date	authors	autocorrelation_model	b0_unwarping_software	contributors	coordinate_space	description	doi_add_date	download_url	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	collection_id	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	journal_name	length_of_blocks	length_of_runs	length_of_trials	matrix_size	modify_date	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	name	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	owner	owner_name	paper_url	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	url	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
82	10.1038/srep10499		2015-05-26T12:18:19.714483Z	Roland N. Boubela, Klaudius Kalcher, Wolfgang Huf, Eva-Maria Seidel, Birgit Derntl, Lukas Pezawas, Christian Našel and Ewald Moser					Task fMRI using a block design matching task with fearful faces and threatening IAPS pictures versus geometric shapes showing the contribution of the Basal Vein of Rosenthal (BVR) to signal changes near the amygdala.	2015-05-26T12:18:19.714483Z	http://neurovault.org/collections/588/download			3.0			True		False			fixedeffects		Mean of Beta estimates		False					588				nonlinear	glm	regression	AFNI	Scientific Reports	30.0	560.0			2015-09-15T03:47:06.967735Z					fMRI measurements of amygdala activation are confounded by stimulus correlated signal fluctuation in nearby veins draining distant brain regions			0									119	klaudius.kalcher	http://www.nature.com/doifinder/10.1038/srep10499							Siemens	TIM Trio						AFNI								blocked	http://neurovault.org/collections/588/	True	False	False	True	True	True	False		False	False		False
98	10.1152/jn.00338.2011		2016-01-03T04:15:58.273250Z	B. T. Thomas Yeo, F. M. Krienen, J. Sepulcre, M. R. Sabuncu, D. Lashkari, M. Hollinshead, J. L. Roffman, J. W. Smoller, L. Zollei, J. R. Polimeni, B. Fischl, H. Liu and R. L. Buckner						2016-01-03T04:25:27.306286Z	http://neurovault.org/collections/1057/download					http://surfer.nmr.mgh.harvard.edu/fswiki/CorticalParcellation_Yeo2011															1057								Journal of Neurophysiology					2016-06-13T00:50:42.548256Z					The organization of the human cerebral cortex estimated by intrinsic functional connectivity			5									15	yeoyeo02	http://jn.physiology.org/cgi/doi/10.1152/jn.00338.2011																							http://neurovault.org/collections/1057/												
99	10.1088/0031-9155/59/10/2517		2016-02-18T21:13:03.771449Z	Elisabetta Grecchi, Orla M Doyle, Alessandra Bertoldo, Nicola Pavese and Federico E Turkheimer						2016-02-18T21:13:03.770952Z	http://neurovault.org/collections/1196/download																				1196								Physics in Medicine and Biology					2016-02-18T21:27:55.650286Z					Brain shaving: adaptive detection for brain PET data			1									1	ChrisFiloGorgolewski	http://stacks.iop.org/0031-9155/59/i=10/a=2517?key=crossref.fa187c8eb0a038601a406e92e4d329a3																							http://neurovault.org/collections/1196/												
120	10.1016/j.jcps.2011.11.010		2016-04-10T20:50:51.105505Z	Hilke Plassmann, Thomas Zoëga Ramsøy and Milica Milosavljevic					brain systems involved in the psychology of brands	2016-04-10T20:50:51.105033Z	http://neurovault.org/collections/1288/download					http://faculty.insead.edu/hilke-plassmann/documents/16_Plassmann_etal_JCP_2012.pdf															1288								Journal of Consumer Psychology					2016-04-10T20:50:51.105529Z					Branding the brain: A critical review and outlook			0									1005	fraker.jordan	http://linkinghub.elsevier.com/retrieve/pii/S1057740811001136																							http://neurovault.org/collections/1288/												
140	10.1155/2016/2094601		2015-08-31T08:14:23.795839Z	Juha Pajula and Jussi Tohka				mni	"Statistical maps from testing the proper sample size in ISC analysis with ISCtoolbox for Matlab.

CorrMap_XXSubj maps define the average paired correlation from 1000 tests for subject groups of 10 to 65 subjects
MaeMap_XXSubj maps define the average paired MAE from 1000 tests for subject groups of 10 to 65 subjects
VarMap_XXSubj maps define the average paired Variance from 1000 tests for subject groups of 10 to 65 subjects

ISCcorrmapBand0Session1.nii has the statistical map of basic ISC analysis for the full data set of 130 subjects with Verbal Generation task from Functional Reference Battery of ICBM."	2016-01-27T08:17:01.128707Z	http://neurovault.org/collections/786/download						True		True	testing various numbers of subjects with the same VG FRB task to investigate the effect of sample size in ISC analysis								right			786			FSL	linear				Computational Intelligence and Neuroscience					2016-01-27T21:57:04.115278Z					How Many Is Enough? Effect of Sample Size in Inter-Subject Correlation Analysis of fMRI			25									474	pajula	http://www.hindawi.com/journals/cin/2016/2094601/						2.0						5.0	Gaussian	FSL					2.0	MNI-152		blocked	http://neurovault.org/collections/786/				True							True	
141	10.1038/jcbfm.2014.21		2016-02-18T21:16:58.253926Z	Gaia Rizzo, Mattia Veronese, Rolf A Heckemann, Sudhakar Selvaraj, Oliver D Howes, Alexander Hammers, Federico E Turkheimer and Alessandra Bertoldo						2016-02-18T21:16:58.252934Z	http://neurovault.org/collections/1197/download																				1197								Journal of Cerebral Blood Flow & Metabolism					2016-02-29T06:56:34.065878Z					The predictive power of brain mRNA mappings for in vivo protein density: a positron emission tomography correlation study			2									1	ChrisFiloGorgolewski	http://jcb.sagepub.com/lookup/doi/10.1038/jcbfm.2014.21																							http://neurovault.org/collections/1197/												
145	10.1093/cercor/bhu239		2016-01-03T04:32:40.326095Z	Evan M. Gordon, Timothy O. Laumann, Babatunde Adeyemo, Jeremy F. Huckins, William M. Kelley and Steven E. Petersen						2016-01-03T04:32:40.325695Z	http://neurovault.org/collections/1058/download					http://www.nil.wustl.edu/labs/petersen/Resources.html															1058								Cerebral Cortex					2016-06-11T11:48:38.913601Z					Generation and Evaluation of a Cortical Area Parcellation from Resting-State Correlations			3									1	ChrisFiloGorgolewski	http://www.cercor.oxfordjournals.org/lookup/doi/10.1093/cercor/bhu239																							http://neurovault.org/collections/1058/												
152	10.1111/obr.12221		2015-05-05T08:00:15.286314Z	I. García-García, A. Horstmann, M. A. Jurado, M. Garolera, S. J. Chaudhry, D. S. Margulies, A. Villringer and J. Neumann					Integration of fMRI studies in obesity, substance addictions and non-substance addictions during reward processing.	2015-05-05T08:00:15.286314Z	http://neurovault.org/collections/555/download								True												555								Obesity Reviews					2016-01-27T20:57:42.621215Z					Reward processing in obesity, substance addiction and non-substance addiction			20									224	IGarcia	http://doi.wiley.com/10.1111/obr.2014.15.issue-11																							http://neurovault.org/collections/555/												
164	10.1162/jocn_a_00795		2015-01-28T06:29:33.196354Z	Erik C. Nook and Jamil Zaki				mni	Relevant contrasts from the Nook & Zaki (2015) paper on social conformity for food preferences.  Paper can be found at http://www.mitpressjournals.org/doi/10.1162/jocn_a_00795 or ssnl.stanford.edu/publications	2015-01-28T06:29:33.196354Z	http://neurovault.org/collections/325/download			3.0			True		False		OLS	randommixedeffects		GLM	Neuroelf			right	Canonical	128s	325	Right handed, healthy, native English speakers, normal or corrected-to-normal vision, no history of neurological disorder, no medications that would interfere with fMRI data collection.		Neuroelf		OLS	GLM	Neuroelf	Journal of Cognitive Neuroscience		770.0	10		2016-01-27T21:47:51.932033Z			2		Social Norms Shift Behavioral and Neural Responses to Foods		50.0	8	2.0	4.0			Random jitter	interleaved			286	erik.nook	http://www.mitpressjournals.org/doi/10.1162/jocn_a_00795		14.0	EPI	Check motion parameters, exclude > 2.8mm in any direction within a run	2.0	3.0	GE	Discovery	0.0	2.9		6.0	Gaussian	SPM via Neuroelf	8	30.0	20.1	18.0	3.0			eventrelated	http://neurovault.org/collections/325/			True		True	True		False	False	True	True	
171	10.1016/j.neuroimage.2015.07.075		2016-01-03T04:42:25.023949Z	Edmund T. Rolls, Marc Joliot and Nathalie Tzourio-Mazoyer						2016-01-03T04:42:25.023523Z	http://neurovault.org/collections/1059/download					http://www.gin.cnrs.fr/AAL2															1059								NeuroImage					2016-01-03T05:49:44.367680Z					Implementation of a new parcellation of the orbitofrontal cortex in the automated anatomical labeling atlas			1									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811915006953																							http://neurovault.org/collections/1059/												
176	10.1016/j.cub.2014.08.024		2014-10-29T06:39:16.336198Z	Alexander Schaefer, Inga Burmann, Ralf Regenthal, Katrin Arélin, Claudia Barth, André Pampel, Arno Villringer, Daniel S. Margulies and Julia Sacher					Serotonin functions as an essential neuromodulator that serves a multitude of roles, most prominently balancing mood [ 1 ]. Serotonergic challenge has been observed to reduce intrinsic functional connectivity in brain regions implicated in mood regulation [ 2–4 ]. However, the full scope of serotonergic action on functional connectivity in the human brain has not been explored. Here, we show evidence that a single dose of a serotonin reuptake inhibitor dramatically alters functional connectivity throughout the whole brain in healthy subjects (n = 22). Our network-centrality analysis reveals a widespread decrease in connectivity in most cortical and subcortical areas. In the cerebellum and thalamus, however, we find localized increases. These rapid and brain-encompassing connectivity changes linked to acute serotonin transporter blockade suggest a key role for the serotonin transporter in the modulation of the functional macroscale connectome.	2014-10-29T06:39:16.336198Z	http://neurovault.org/collections/190/download								True												190				linear				Current Biology					2016-01-27T21:57:38.990273Z					Serotonergic Modulation of Intrinsic Functional Connectivity			1		2.0							140	alexschaefer83	http://linkinghub.elsevier.com/retrieve/pii/S0960982214010379							Siemens															other	http://neurovault.org/collections/190/				True								
181	10.1016/j.neubiorev.2014.11.003		2015-09-16T16:44:36.265220Z	Edna C. Cieslik, Veronika I. Mueller, Claudia R. Eickhoff, Robert Langner and Simon B. Eickhoff					We here investigated the core neural correlates of cognitive action control via coordinate-based meta-analyses of brain activity reported for the Stroop, spatial interference, stop-signal and go/no-go tasks. Our study revealed evidence for a pivotal role of the right anterior insula and right inferior frontal junction in supervisory attentional control, as these were the only two regions consistently involved in all four paradigm classes. Furthermore, the anterior midcingulate cortex and pre-supplementary motor area were commonly recruited by all but the go/no-go task. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T16:44:36.264816Z	http://neurovault.org/collections/826/download					http://anima.modelgui.org/studies/Cieslik_SAS_2015															826								Neuroscience & Biobehavioral Reviews					2016-02-29T09:00:28.054426Z					Three key regions for supervisory attentional control: Evidence from neuroimaging meta-analyses			7									555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S0149763414002802																							http://neurovault.org/collections/826/												
186	10.1016/j.neuroimage.2014.11.009		2016-04-24T19:47:51.681844Z	Danilo Bzdok, Adrian Heeger, Robert Langner, Angela R. Laird, Peter T. Fox, Nicola Palomero-Gallagher, Brent A. Vogt, Karl Zilles and Simon B. Eickhoff					We here investigated posteriomedial (PMC) properties with a data-driven exploratory approach. First, we subdivided the PMC by whole-brain coactivation profiles. Second, functional connectivity of the ensuing PMC regions was compared by task-constrained meta-analytic coactivation mapping (MACM) and task-unconstrained resting-state correlations (RSFC). Third, PMC regions were functionally described by forward/reverse functional inference. We found four clusters, including a precuneal cluster, a ventral posterior cingulate cortex (PCC) cluster, a dorsal PCC cluster, and a retrosplenial cluster. All PMC clusters were functionally coupled with the default mode network for task-unconstrained, but not task-constrained, connectivity. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2016-04-24T19:47:51.681416Z	http://neurovault.org/collections/1322/download					http://anima.fz-juelich.de/api/studies/Bzdok_PMC_2015															1322								NeuroImage					2016-04-24T19:48:00.629769Z					Subspecialization in the human posterior medial cortex			4									555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S1053811914009112																							http://neurovault.org/collections/1322/												
188	10.1016/j.tics.2012.01.005		2013-06-16T15:56:59.039649Z	Mathieu Roy, Daphna Shohamy and Tor D. Wager					 Roy et al 2012 TICS reverse inference maps from the paper on ventromedial prefrontal cortex and generation of affective meaning across domains. Neurosynth-based maps from compound searches identifying default mode, autonomic/endocrine, reward, pain, social cognition, emotion, and other terms.	2013-06-16T15:56:59.039649Z	http://neurovault.org/collections/7/download																				7								Trends in Cognitive Sciences					2016-01-27T22:00:47.294611Z					Ventromedial prefrontal-subcortical systems and the generation of affective meaning			1									13	TorWager	http://linkinghub.elsevier.com/retrieve/pii/S1364661312000277																							http://neurovault.org/collections/7/												
189	10.1016/j.concog.2015.04.020		2014-07-21T10:27:54.946613Z	Nicolas Farrugia, Kelly Jakubowski, Rhodri Cusack and Lauren Stewart						2014-07-21T10:27:54.946613Z	http://neurovault.org/collections/59/download																				59								Consciousness and Cognition					2016-02-29T09:11:26.639878Z					Tunes stuck in your brain: The frequency and affective evaluation of involuntary musical imagery correlate with cortical structure			3									80	nicofarr09	http://linkinghub.elsevier.com/retrieve/pii/S1053810015000975														SPM	8								http://neurovault.org/collections/59/												
191	10.12688/f1000research.2-289.v2		2014-10-21T09:06:04.618062Z	Mitzy Kennis, Arthur R. Rademaker, Sanne J.H. van Rooij, René S. Kahn and Elbert Geuze					Resting state functional connectivity was investigated between PTSD patients with and without comorbid MDD for the subgenual anterior cingulate and insula. Network masks of positive and negative functional connectivity were applied in the group analyses.	2014-10-21T09:06:04.618062Z	http://neurovault.org/collections/179/download								True	PTSD with and without MDD											179								F1000Research					2016-02-29T09:38:19.656207Z					Altered functional connectivity in posttraumatic stress disorder with versus without comorbid major depressive disorder: a resting state fMRI study			4		1.0							172	F1000Research	http://www.f1000research.com/		50.0												SPM, DPARSF		57.0	35.64	21.0					http://neurovault.org/collections/179/												
193	10.1016/j.jocn.2011.02.003		2015-03-05T20:58:54.151478Z	James M. Shine, Philip B. Ward, Sharon L. Naismith, Mark Pearson and Simon J.G. Lewis						2015-03-05T20:58:54.151478Z	http://neurovault.org/collections/419/download																				419								Journal of Clinical Neuroscience					2016-06-12T22:07:20.685362Z					Utilising functional MRI (fMRI) to explore the freezing phenomenon in Parkinson’s disease			4									330	macshine	http://linkinghub.elsevier.com/retrieve/pii/S096758681100110X																							http://neurovault.org/collections/419/												
194	10.1016/j.neuroimage.2014.03.032		2015-04-29T15:26:57.529084Z	M.C. Keuken, P.-L. Bazin, L. Crown, J. Hootsmans, A. Laufer, C. Müller-Axt, R. Sier, E.J. van der Putten, A. Schäfer, R. Turner and B.U. Forstmann						2015-04-29T15:26:57.529084Z	http://neurovault.org/collections/550/download																				550								NeuroImage					2016-02-29T09:39:20.888455Z					Quantifying inter-individual anatomical variability in the subcortex using 7T structural MRI			52									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811914001797																							http://neurovault.org/collections/550/												
198	10.1006/nimg.2001.0978		2016-01-03T05:51:26.807161Z	N. Tzourio-Mazoyer, B. Landeau, D. Papathanassiou, F. Crivello, O. Etard, N. Delcroix, B. Mazoyer and M. Joliot						2016-01-03T05:51:26.806730Z	http://neurovault.org/collections/1060/download					http://www.gin.cnrs.fr/AAL															1060								NeuroImage					2016-01-03T05:53:13.726517Z					Automated Anatomical Labeling of Activations in SPM Using a Macroscopic Anatomical Parcellation of the MNI MRI Single-Subject Brain			1									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811901909784																							http://neurovault.org/collections/1060/												
207	10.3389/fnana.2016.00012		2016-01-03T08:16:30.361779Z	Roberto Viviani						2016-05-13T20:44:07.885405Z	http://neurovault.org/collections/1061/download					http://www.uniklinik-ulm.de/struktur/kliniken/psychiatrie-und-psychotherapie/klinik-fuer-psychiatrie-und-psychotherapie-iii-ulm/home/forschung/clinical-neuroimaging/digital-atlas.html															1061								Frontiers in Neuroanatomy					2016-06-18T21:37:14.557287Z					A Digital Atlas of Middle to Large Brain Vessels and Their Relation to Cortical and Subcortical Structures			4									1	ChrisFiloGorgolewski	http://journal.frontiersin.org/Article/10.3389/fnana.2016.00012/abstract																							http://neurovault.org/collections/1061/												
213	10.1016/j.neuroimage.2010.07.033		2016-10-23T17:44:53.268778Z	Vladimir Fonov, Alan C. Evans, Kelly Botteron, C. Robert Almli, Robert C. McKinstry and D. Louis Collins						2016-10-23T17:44:53.268295Z	http://neurovault.org/collections/1939/download					http://www.bic.mni.mcgill.ca/ServicesAtlases/ICBM152NLin2009															1939								NeuroImage					2016-10-24T20:43:13.450349Z					Unbiased average age-appropriate atlases for pediatric studies			13									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811910010062																							http://neurovault.org/collections/1939/												
229	10.1016/j.neuroimage.2013.05.081		2016-01-03T17:06:35.154978Z	X. Shen, F. Tokoglu, X. Papademetris and R.T. Constable						2016-01-03T17:06:35.154534Z	http://neurovault.org/collections/1062/download					http://www.nitrc.org/frs/?group_id=51															1062								NeuroImage					2016-06-14T10:24:55.404284Z					Groupwise whole-brain parcellation from resting-state fMRI data for network node identification			6									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811913005818																							http://neurovault.org/collections/1062/												
230	10.1093/cercor/bhw065		2016-04-24T19:48:03.618822Z	Sarah Genon, Hai Li, Lingzhong Fan, Veronika I. Müller, Edna C. Cieslik, Felix Hoffstaedter, Andrew T. Reid, Robert Langner, Christian Grefkes, Peter T. Fox, Susanne Moebus, Svenja Caspers, Katrin Amunts, Tianzi Jiang and Simon B. Eickhoff					We identified five subregions within the right dorsal premotor cortex by using connectivity-based parcellation. We functionally characterized them in terms of functional connectivity and associated behavioral functions. This highlighted a cognitivo-motor gradient along the three subregions on the rostro-caudal axis: rostral, central and caudal. Furthermore, we identified a ventral subregion showing premotor eye-field functions and a dorsal one preferentially related to finder/hand movements. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 2	2016-04-24T19:48:03.618192Z	http://neurovault.org/collections/1324/download					http://anima.fz-juelich.de/api/studies/Genon_CBPrightPMd_2016															1324								Cerebral Cortex					2016-04-24T19:48:54.666884Z					The Right Dorsal Premotor Mosaic: Organization, Functions, and Connectivity			30									555	ANIMA	http://www.cercor.oxfordjournals.org/lookup/doi/10.1093/cercor/bhw065																							http://neurovault.org/collections/1324/												
249	10.3389/fnhum.2015.00634		2015-12-23T10:51:18.714390Z	Lora Minkova, Elisa Scheller, Jessica Peter, Ahmed Abdulkadir, Christoph P. Kaller, Raymund A. Roos, Alexandra Durr, Blair R. Leavitt, Sarah J. Tabrizi and Stefan Klöppel					"Main effects of task for (A) complexity and (B) speed across all participants (n=155)
"	2016-05-03T07:23:08.954681Z	http://neurovault.org/collections/1035/download					http://journal.frontiersin.org/article/10.3389/fnhum.2015.00634/abstract															1035								Frontiers in Human Neuroscience					2016-06-12T22:11:51.026821Z					Detection of Motor Changes in Huntington's Disease Using Dynamic Causal Modeling			2									851	minkova.lora	http://journal.frontiersin.org/article/10.3389/fnhum.2015.00634																							http://neurovault.org/collections/1035/												
260	10.1371/journal.pone.0161121		2016-03-30T08:22:29.542575Z	Kirsten Emmert, Daniela Zöller, Maria Giulia Preti, Dimitri Van De Ville, Panteleimon Giannakopoulos, Sven Haller and Daniele Marinazzo					We looked at the influence of a fetal-type PCA on the response to CO2 (fMRI CO2 paradigm) and cerebral blood flow (assessed by ASL).	2016-08-23T15:22:45.341193Z	http://neurovault.org/collections/1276/download			3.0					True	standard PCA (n=296) versus unilateral fPCA (clear right fPCA (n=23), clear left fPCA (n=16))				fixed effects							1276	Intermediate and bilateral PCA variants excluded from analysis					GLM		PLOS ONE		540.0			2016-08-23T15:22:59.356443Z					Influence of Vascular Variant of the Posterior Cerebral Artery (PCA) on Cerebral Blood Flow, Vascular Response to CO2 and Static Functional Connectivity		2.0	4	1.0	50.0							244	KNE	http://dx.plos.org/10.1371/journal.pone.0161121		0.37					Siemens							FSL			74.0					blocked	http://neurovault.org/collections/1276/				True								
